id,kode_paket,kode_rup,tahun_anggaran,nama_instansi,satuan_kerja,nama_penyedia,nama_paket,total_nilai,nilai_pdn,sumber_transaksi,sumber_dana,metode_pengadaan,jenis_pengadaan,status_paket,created_at,updated_at
1184,3747373,44503287,2023,KAB. MANDAILING NATAL,DINAS PEKERJAAN UMUM DAN PENATAAN RUANG - 1.03.0.00.0.00.03.0000,CV. IKHWAN FIRDAUS,Rehabilitasi Kantor Lurah Simangambat,1.4922E+8,1.4922E+8,Non Tender,APBDP,Pengadaan Langsung,Pekerjaan Konstruksi,SELESAI,2026-06-14 09:36:34.663972,2026-06-14 09:36:34.663972
1185,4244270,42104658,2023,KAB. MANDAILING NATAL,RUMAH SAKIT UMUM DAERAH PANYABUNGAN - 1.02.0.00.0.00.02.0001,P.T. Dexa Medica,Divalproex sodium / Valproat tablet lepas lambat/kaplet lepas lambat 500 mg,1.770E+7,1.770E+7,E-Katalog 5.0,BLUD,E-Purchasing,Pengadaan Barang,MELAKUKAN PENGIRIMAN DAN PENERIMAAN,2026-06-14 09:36:34.663972,2026-06-14 09:36:34.663972
1186,8300773,45589099,2023,KAB. MANDAILING NATAL,RUMAH SAKIT UMUM DAERAH PANYABUNGAN - 1.02.0.00.0.00.02.0001,PT.Elsyahfi Calibratech Mandiri,JASA PENGUJIAN DAN/ATAU KALIBRASI SUCTION PUMP GENERAL / ALAT HISAP MEDIS,2.75E+6,2.75E+6,E-Katalog 5.0,APBDP,E-Purchasing,Pengadaan Barang,PAKET SELESAI,2026-06-14 09:36:34.663972,2026-06-14 09:36:34.663972
1187,3585373,41383946,2023,KAB. MANDAILING NATAL,DINAS PERTANIAN - 3.27.0.00.0.00.24.0000,NARAMON FAJRI,Pembangunan DAM Parit di Desa Pidoli Lombang Kec. Panyabungan,9.926E+7,9.926E+7,Non Tender,APBD,Pengadaan Langsung,Pekerjaan Konstruksi,SELESAI,2026-06-14 09:36:34.663972,2026-06-14 09:36:34.663972
1188,3363373,43601838,2023,KAB. MANDAILING NATAL,DINAS PERTANIAN - 3.27.0.00.0.00.24.0000,NARAMON FAJRI,Pembangunan/Rehabilitasi Jaringan Irigasi Desa Lumban Pasir Kec. Panyabungan,110208000,110208000,Non Tender,APBD,Pengadaan Langsung,Pekerjaan Konstruksi,SELESAI,2026-06-14 09:36:34.663972,2026-06-14 09:36:34.663972
1189,3440373,41341695,2023,KAB. MANDAILING NATAL,DINAS PERUMAHAN RAKYAT DAN KAWASAN PERMUKIMAN SERTA PERTANAHAN - 1.04.2.10.0.00.04.0000,CV. WIKASA,Pembangunan Jalan Lingkungan di Daerah Pondok Roten Desa Tabuyung Kec. Muara Batang Gadis,1.4640E+8,1.4640E+8,Non Tender,APBD,Pengadaan Langsung,Pekerjaan Konstruksi,SELESAI,2026-06-14 09:36:34.663972,2026-06-14 09:36:34.663972
1190,3653373,40966291,2023,KAB. MANDAILING NATAL,DINAS PENDIDIKAN DAN KEBUDAYAAN - 1.01.2.22.0.00.02.0000,CV.RIZKI KARYA,Pembangunan Ruang Guru SD Negeri 378 Sikara-Kara IV,199500053,199500053,Non Tender,APBD,Pengadaan Langsung,Pekerjaan Konstruksi,SELESAI,2026-06-14 09:36:34.663972,2026-06-14 09:36:34.663972
1191,7639914,42104658,2023,KAB. MANDAILING NATAL,RUMAH SAKIT UMUM DAERAH PANYABUNGAN - 1.02.0.00.0.00.02.0001,PT. SOHO Industri Pharmasi,CURCUMA FORCE,16354800,16354800,E-Katalog 5.0,BLUD,E-Purchasing,Pengadaan Barang,MELAKUKAN PENGIRIMAN DAN PENERIMAAN,2026-06-14 09:36:34.663972,2026-06-14 09:36:34.663972
1192,3771373,45569166,2023,KAB. MANDAILING NATAL,BAGIAN UMUM SETDAKAB MANDAILING NATAL - 4.01.5.06.0.00.26.0009,CV. AULIA RIZKI PRATAMA,Pembuatan Interior Pada Gedung Kantor Bupati,199800111,199800111,Non Tender,APBDP,Pengadaan Langsung,Pekerjaan Konstruksi,SELESAI,2026-06-14 09:36:34.663972,2026-06-14 09:36:34.663972
1193,4101530,41733351,2023,KAB. MANDAILING NATAL,DINAS KESEHATAN - 1.02.0.00.0.00.02.0000,PT.Bernofarm,Cotrimoxazole/ Cotrimoksazole/ Kotrimoksazol (dewasa) kombinasi: sulfametoksazol 400 mg + trimetoprim 80 mg (tab/kaptab 480 mg),3.510E+7,3.510E+7,E-Katalog 5.0,APBD,E-Purchasing,Pengadaan Barang,MELAKUKAN PENGIRIMAN DAN PENERIMAAN,2026-06-14 09:36:34.663972,2026-06-14 09:36:34.663972
1194,2824373,40966394,2023,KAB. MANDAILING NATAL,DINAS PENDIDIKAN DAN KEBUDAYAAN - 1.01.2.22.0.00.02.0000,CV. RAO JAYA,Pembangunan ruang laboratorium komputer beserta perabotnya SD Negeri 161 Bangun Purba,227415000,227415000,Tender,APBD,Tender,Pekerjaan Konstruksi,SELESAI,2026-06-14 09:36:34.663972,2026-06-14 09:36:34.663972
1195,2858373,40966243,2023,KAB. MANDAILING NATAL,DINAS PENDIDIKAN DAN KEBUDAYAAN - 1.01.2.22.0.00.02.0000,cv sinar jaya,Pembangunan Ruang Perpustakaan Beserta Perabotnya SD Negeri 376 Sikara Kara III,201006513,201006513,Tender,APBD,Tender,Pekerjaan Konstruksi,SELESAI,2026-06-14 09:36:34.663972,2026-06-14 09:36:34.663972
1196,4101530,41733351,2023,KAB. MANDAILING NATAL,DINAS KESEHATAN - 1.02.0.00.0.00.02.0000,PT.Bernofarm,Amoksisilin/ Amoxicillin/ Amoxicillin Trihydrate tablet/kapsul/kaplet/kaptab 500 mg,1.2100E+8,1.2100E+8,E-Katalog 5.0,APBD,E-Purchasing,Pengadaan Barang,MELAKUKAN PENGIRIMAN DAN PENERIMAAN,2026-06-14 09:36:34.663972,2026-06-14 09:36:34.663972
1197,3117782,42104658,2023,KAB. MANDAILING NATAL,RUMAH SAKIT UMUM DAERAH PANYABUNGAN - 1.02.0.00.0.00.02.0001,P.T. Dexa Medica,Asam ursodeoksikolat/Ursodeoxycholic acid tablet/kapsul/kaplet 250 mg,2925000,2925000,E-Katalog 5.0,BLUD,E-Purchasing,Pengadaan Barang,MELAKUKAN PENGIRIMAN DAN PENERIMAAN,2026-06-14 09:36:34.663972,2026-06-14 09:36:34.663972
1198,5537364,41733260,2023,KAB. MANDAILING NATAL,DINAS KESEHATAN - 1.02.0.00.0.00.02.0000,PT Jayamas Medica Industri,Dermafix T 10x12 cm,21962016,21962016,E-Katalog 5.0,APBD,E-Purchasing,Pengadaan Barang,MELAKUKAN PENGIRIMAN DAN PENERIMAAN,2026-06-14 09:36:34.663972,2026-06-14 09:36:34.663972
1199,3480373,40966430,2023,KAB. MANDAILING NATAL,DINAS PENDIDIKAN DAN KEBUDAYAAN - 1.01.2.22.0.00.02.0000,CV.SEPAKAT KARINA,Pembangunan Toilet (Jamban) Beserta Sanitasinya SD Negeri 376 Sikara Kara III,1.4017E+8,1.4017E+8,Non Tender,APBD,Pengadaan Langsung,Pekerjaan Konstruksi,SELESAI,2026-06-14 09:36:34.663972,2026-06-14 09:36:34.663972
1200,3650373,40966319,2023,KAB. MANDAILING NATAL,DINAS PENDIDIKAN DAN KEBUDAYAAN - 1.01.2.22.0.00.02.0000,CV. OLIVIA KARYA UTAMA,Pembangunan Ruang Unit Kesehatan Sekolah SD Negeri 378 Sikara-Kara IV,7.975E+7,7.975E+7,Non Tender,APBD,Pengadaan Langsung,Pekerjaan Konstruksi,SELESAI,2026-06-14 09:36:34.663972,2026-06-14 09:36:34.663972
1201,6493792,42104658,2023,KAB. MANDAILING NATAL,RUMAH SAKIT UMUM DAERAH PANYABUNGAN - 1.02.0.00.0.00.02.0001,P.T. Dexa Medica,Domperidon/ Domperidone/ Domperidone Maleate tablet/kapsul/kaplet 10 mg,2.41E+6,2.41E+6,E-Katalog 5.0,BLUD,E-Purchasing,Pengadaan Barang,MELAKUKAN PENGIRIMAN DAN PENERIMAAN,2026-06-14 09:36:34.663972,2026-06-14 09:36:34.663972
1202,5806393,41736856,2023,KAB. MANDAILING NATAL,DINAS KESEHATAN - 1.02.0.00.0.00.02.0000,PT Sempurna Medilab Indonesia,HIGHTOP Malaria P.f/P.v Rapid Test Kit,51999933,0,E-Katalog 5.0,APBD,E-Purchasing,Pengadaan Barang,PROSES KONTRAK PPK,2026-06-14 09:36:34.663972,2026-06-14 09:36:34.663972
1203,4963345,42104658,2023,KAB. MANDAILING NATAL,RUMAH SAKIT UMUM DAERAH PANYABUNGAN - 1.02.0.00.0.00.02.0001,PT.Phapros Tbk,Lidocaine Hydrochloride/ Lidocaine/ Lidocain/ Lidokain injeksi 2%,1259000,1259000,E-Katalog 5.0,BLUD,E-Purchasing,Pengadaan Barang,MELAKUKAN PENGIRIMAN DAN PENERIMAAN,2026-06-14 09:36:34.663972,2026-06-14 09:36:34.663972
1204,3641373,44142304,2023,KAB. MANDAILING NATAL,DINAS PENDIDIKAN DAN KEBUDAYAAN - 1.01.2.22.0.00.02.0000,CV. PUTRA BARINGIN GROUP,Pembangunan Ruang Guru SMP Negeri 5 Sinunukan,199350002,199350002,Non Tender,APBD,Pengadaan Langsung,Pekerjaan Konstruksi,SELESAI,2026-06-14 09:36:34.663972,2026-06-14 09:36:34.663972
1205,3281373,43503062,2023,KAB. MANDAILING NATAL,DINAS PERHUBUNGAN - 2.15.0.00.0.00.16.0000,CV. AULIA RIZKI PRATAMA,Pengadaan dan Pemasangan LPJU Konvensional di Kec. Kotanopan,109675000,0,Non Tender,APBD,Pengadaan Langsung,Pengadaan Barang,SELESAI,2026-06-14 09:36:34.663972,2026-06-14 09:36:34.663972
