Nama Instansi,Nama Satuan Kerja,Kode Paket,Kode RUP,Tahun Anggaran,Sumber Transaksi,Sumber Dana,Nama Penyedia,Metode Pengadaan,Jenis Pengadaan,Nama Paket,Status Paket,Total Nilai (Rp),Nilai PDN (Rp)
KAB. MANDAILING NATAL,RUMAH SAKIT UMUM DAERAH PANYABUNGAN - 1.02.0.00.0.00.02.0001,01KPSZQZPSJBMMQ2TNZPS2B0BB,66765523,2026,E-Katalog 6.0,BLUD,WIGO HEALTH INDONESIA,E-Purchasing,Barang,Belanja Barang dan Jasa BLUD,ON PROCESS,19065138,0
KAB. MANDAILING NATAL,DINAS KESEHATAN - 1.02.0.00.0.00.02.0000,01KR2VKHHEF1AMHQ139291NRWZ,65477997,2026,E-Katalog 6.0,APBD,BERNOFARM,E-Purchasing,Barang,"Belanja Obat-Obatan-Obat -Pengadaan Obat, Vaksin (BOK)",ON PROCESS,99529926,99529926
KAB. MANDAILING NATAL,RUMAH SAKIT UMUM DAERAH PANYABUNGAN - 1.02.0.00.0.00.02.0001,01KTK3EKBGYM40CSAQV5FSZPA2,66765523,2026,E-Katalog 6.0,BLUD,MAHAKAM BETA FARMA,E-Purchasing,Barang,Belanja Barang dan Jasa BLUD,ON PROCESS,12432000,12432000
KAB. MANDAILING NATAL,RUMAH SAKIT UMUM DAERAH PANYABUNGAN - 1.02.0.00.0.00.02.0001,01KQ9621631BYARFS9P4BT47T1,66335380,2026,E-Katalog 6.0,BLUD,PT. Serenity Indonesia,E-Purchasing,Barang,Belanja Modal Peralatan dan Mesin BLUD,ON PROCESS,44120100,44120100
KAB. MANDAILING NATAL,DINAS KEPENDUDUKAN DAN PENCATATAN SIPIL - 2.12.0.00.0.00.11.0000,01KP2GSJNFBP36DYTRC291QGG8,66841456,2026,E-Katalog 6.0,APBD,KREASI KENANGA,E-Purchasing,Barang,Belanja Alat/Bahan untuk Kegiatan Kantor-Alat Tulis Kantor,PAYMENT OUTSIDE SYSTEM,66002376,66002376
KAB. MANDAILING NATAL,DINAS PERHUBUNGAN - 2.15.0.00.0.00.14.0000,01KRZSTH4WKKKH343P31Q71BTM,66985678,2026,E-Katalog 6.0,APBD,BINTANG KARYA BHAKTI,E-Purchasing,Barang,Belanja Bola Lampu LED Street Light (Pemeliharaan),ON PROCESS,35520000,35520000
KAB. MANDAILING NATAL,DINAS PERHUBUNGAN - 2.15.0.00.0.00.14.0000,01KT8P84YB2A4AKGPF3RZGNS94,67147720,2026,E-Katalog 6.0,APBD,CV SMART APPLICATION SYSTEM,E-Purchasing,Jasa Lainnya,Belanja Pemeliharaan dan Upgrade Aplikasi Fullcycle,ON PROCESS,58800000,58800000
KAB. MANDAILING NATAL,DINAS KESEHATAN - 1.02.0.00.0.00.02.0000,10799783000,65453391,2026,Non Tender,APBD,CV LAURA,Pengadaan Langsung,Jasa Konsultansi Badan Usaha Konstruksi,Belanja Jasa Tenaga Penanganan Prasarana dan Sarana Umum-Jasa Konsultan Penyusunan Dokumen UKL-UPL dan Study Kelayakan Pembangunan Laboratorium Kesehatan Masyarakat Kabupaten Mandailing Natal.,SELESAI,74814555,74814555
KAB. MANDAILING NATAL,DINAS PERTANIAN - 3.27.0.00.0.00.22.0000,01KJVKCBQ4VSZ6Z6CK5XR8WR9V,65654504,2026,E-Katalog 6.0,APBD,GIAZ UTAMA MANDIRI,E-Purchasing,Barang,Belanja Bahan-Bahan/Bibit Tanaman,PAYMENT OUTSIDE SYSTEM,590182300,590182300
KAB. MANDAILING NATAL,INSPEKTORAT DAERAH KABUPATEN - 6.01.0.00.0.00.30.0000,10887480000,66174218,2026,Non Tender,APBD,ARION ADONAY CONSULTANT,Pengadaan Langsung,Jasa Konsultansi Badan Usaha Konstruksi,Jasa Konsultasi Perencanaan Pembangunan Gedung Inspektorat (Tahap II),BERLANGSUNG,99789000,99789000
